Earthquake count within 2deg border 2010,Earthquake count within 2deg border 2011,Earthquake count within 2deg border 2012,Earthquake count within 2deg border 2013,Earthquake count within 2deg border 2014,Earthquake count within 2deg border 2015,Earthquake count within 2deg border 2016,Earthquake count within 2deg border 2017,Earthquake count within 2deg border 2018,Earthquake count within 2deg border 2019,Earthquake count within 2deg border 2020,Earthquake count within 2deg border 2021,Earthquake count within 2deg border 2022,Earthquake count within 2deg border 2023,Total
Bosnia and Herz.,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,3.0,1.0,1.0,0.0,19.0
Brazil,3.0,2.0,4.0,0.0,1.0,1.0,3.0,4.0,5.0,3.0,3.0,3.0,0.0,7.0,39.0
Bulgaria,2.0,1.0,3.0,1.0,3.0,0.0,3.0,4.0,0.0,2.0,2.0,7.0,2.0,3.0,33.0
Canada,4.0,4.0,31.0,10.0,9.0,7.0,1.0,17.0,5.0,11.0,2.0,0.0,4.0,4.0,109.0
Cayman Is.,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,14.0
Chile,363.0,93.0,43.0,23.0,144.0,145.0,54.0,51.0,29.0,45.0,38.0,30.0,36.0,30.0,1124.0
China,40.0,31.0,38.0,48.0,31.0,63.0,36.0,26.0,30.0,31.0,34.0,57.0,34.0,38.0,537.0
Colombia,9.0,11.0,4.0,4.0,11.0,11.0,13.0,14.0,16.0,12.0,8.0,7.0,10.0,19.0,149.0
Comoros,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,15.0,4.0,2.0,0.0,0.0,0.0,26.0
Costa Rica,12.0,18.0,9.0,10.0,19.0,6.0,10.0,9.0,7.0,6.0,13.0,15.0,15.0,6.0,155.0
Croatia,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,9.0,3.0,1.0,2.0,0.0,22.0
Cuba,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,5.0,4.0,2.0,23.0
Czechia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Djibouti,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Dominica,2.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,13.0
Dominican Rep.,19.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,4.0,14.0,5.0,3.0,5.0,64.0
